-32,8,41,-65,-127
-71,6,54,20,-70
8,35,-19,-18,35
50,-18,0,-21,1
42,15,-12,6,9
-26,-127,-49,88,38
9,-114,14,58,49
58,1,35,-36,20
40,-12,43,-16,-52
14,-1,1,-26,-42
65,75,-12,50,30
52,6,-26,31,-23
9,45,-29,-10,1
48,38,-65,38,-5
13,58,16,-42,-127
-9,70,51,-75,-127
-15,103,60,0,-124
8,95,-42,19,-23
77,-2,-19,17,9
53,-2,-22,-29,-50
21,-17,57,-23,17
-35,21,-17,5,45
16,-55,-47,46,43
-77,-94,52,127,-16
-102,-13,42,59,-4
-34,-2,41,-102,30
9,-127,-5,8,43
32,39,88,-77,-58
86,11,-123,-85,69
87,37,52,-70,90
14,48,79,-112,-5
-13,8,127,-94,-34
-7,-23,57,-91,52
16,21,90,-88,-17
-43,5,76,-15,-21
-70,-85,71,45,67
-47,-103,59,34,52
32,-127,64,-15,48
-68,-90,43,19,112
1,-85,-96,-44,-10
-2,-5,80,66,108
27,62,68,20,24
24,52,21,-57,-32
12,-29,13,-66,-60
-20,-36,-94,-127,-30
-58,25,39,8,9
-47,22,39,-27,-45
-36,110,-15,24,18
-111,118,-36,-18,-8
-127,107,14,6,16
-18,-100,-32,-10,16
-86,-127,-65,1,12
-6,-25,-2,6,1
8,4,12,0,1
16,1,-4,-9,-6
41,-75,36,-11,-16
25,-97,94,16,5
0,-97,87,16,28
-33,-107,106,38,-7
22,-127,79,30,-22
15,-8,-68,-127,3
-8,35,14,-93,-72
-19,-4,33,-5,-35
-21,-10,45,10,-23
21,5,40,9,-20
-47,-50,-25,31,14
43,79,-31,76,39
68,123,36,-52,23
-2,-48,4,27,8
-25,-116,-127,-71,14
-4,1,1,4,5
13,16,11,9,5
11,5,-6,-7,-1
9,1,-31,-50,-13
-8,-6,-58,-127,-31
-53,-27,15,72,7
45,19,69,90,-127
75,50,-16,17,-112
-72,-9,-5,82,-2
-12,-100,-25,49,-2
-51,-78,-127,-91,-65
51,13,-40,-51,17
1,50,62,-13,-3
4,-6,20,56,43
8,44,85,36,10
45,72,48,26,72
-23,82,84,1,-28
-70,-105,-25,-43,-51
-50,-123,-127,-21,14
80,43,23,-25,5
-71,-127,-51,-28,-4
-19,-74,-27,14,24
6,11,-1,12,12
-16,1,0,15,-6
0,5,-1,22,11
38,26,-66,53,-18
19,-22,-49,76,-22
49,-21,-114,44,31
34,-20,-92,5,68
34,9,-127,48,32
-127,1,20,127,51
-116,-75,84,95,-36
125,-47,-33,-61,-9
57,14,78,-93,-41
-32,14,79,-5,-55
-60,-77,-36,127,-105
-109,-56,-41,101,-64
-12,47,-46,96,-18
-21,49,59,71,-68
-14,46,86,-40,-80
-55,67,-78,-51,108
-65,68,-34,-105,100
-34,127,-57,-109,42
54,90,-23,-61,-3
50,62,-42,-41,20
82,-25,-6,-82,-86
14,44,-6,57,71
127,-7,29,-98,-64
2,-6,-35,-64,-8
53,-55,44,-35,45
-16,-86,13,-59,-40
-45,-41,11,-48,0
-112,-5,48,-26,21
-127,47,25,21,37
-126,104,58,-13,43
64,67,-19,77,15
59,-51,-26,59,-52
-9,-56,18,-26,-17
-15,45,35,-72,52
-81,-44,-55,-127,19
-2,90,110,110,127
-76,57,65,43,25
-35,-29,-7,-20,11
29,30,19,46,61
19,57,-64,-12,-59
-44,-122,-69,-54,91
47,3,31,-2,127
-37,-31,31,-34,89
-20,-15,16,6,95
5,-45,-48,-60,91
127,5,-105,-58,-4
77,62,-25,-68,-16
11,53,-46,28,20
48,33,-53,-15,-8
10,18,-59,2,-25
34,13,76,106,6
61,53,41,82,75
-75,23,-7,72,22
-37,-28,-74,56,-2
-62,-59,-127,31,30
73,97,85,-13,2
14,1,46,29,7
-18,38,30,-30,-25
-34,-67,-51,23,-12
-44,-127,-30,31,-27
-38,3,-42,-123,-127
-66,-41,24,30,-68
17,12,-26,40,28
47,51,49,58,64
36,-12,16,41,47
