,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,q_aware_loss,tflite_loss,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
749,model_0_748,conv2d/kernel,0,2,"(2, 3, 0, 18)",-1.18043077,1.18043077,0.097266123,10,2,14,0.130126227,0.91140002,0.9116,-1.00E-04,-1.00E-04,0.289222986,0.3416065,-0.075855047,-0.207295448,-6,-22,0.131440401,16
750,model_0_749,conv2d/kernel,0,2,"(3, 4, 0, 31)",-0.314860284,0.314860284,0.160632476,65,5,97,0.240483839,0.911800027,0.9116,0.00030005,-1.00E-04,0.292080492,0.343504,-0.133866429,-0.373420507,-55,-151,0.239554077,96
751,model_0_750,conv2d/kernel,0,2,"(4, 3, 0, 16)",-0.330264807,0.330264807,0.094709687,36,0,37,0.096218881,0.912400007,0.9118,0.00090003,0.0001,0.289247692,0.3428389,0.158276558,0.153748974,63,60,0.004527584,3
752,model_0_751,conv2d/kernel,0,2,"(1, 2, 0, 28)",-0.337554872,0.337554872,-0.05479696,-21,4,-5,-0.013289562,0.91140002,0.9116,-1.00E-04,-1.00E-04,0.289265394,0.34271798,-0.182134897,-0.348164499,-67,-131,0.166029602,64
753,model_0_752,conv2d/kernel,0,2,"(1, 2, 0, 20)",-0.263102025,0.263102025,0.16891858,82,3,90,0.186450254,0.911800027,0.9123,0.00030005,0.0006,0.28940025,0.34270576,-0.687191308,-0.75731802,-334,-366,0.070126712,32
754,model_0_753,conv2d/kernel,0,2,"(3, 0, 0, 0)",-0.418046981,0.418046981,0.153830618,47,3,39,0.128376632,0.912199974,0.9122,0.000699997,0.0005,0.288975239,0.33932617,-0.393934011,-0.317572057,-120,-96,0.076361954,24
755,model_0_754,conv2d/kernel,0,2,"(0, 4, 0, 29)",-0.171829075,0.171829075,-0.009153804,-7,2,-3,-0.004058955,0.911499977,0.912,0,0.0003,0.289318055,0.339444,0.249168277,0.238978595,184,176,0.010189682,8
756,model_0_755,conv2d/kernel,0,2,"(0, 0, 0, 30)",-0.347597718,0.347597718,0.211539641,77,5,109,0.2983319,0.91170001,0.9118,0.000200033,0.0001,0.290042907,0.34199882,-0.126658708,-0.300243199,-45,-109,0.173584491,64
757,model_0_756,conv2d/kernel,0,2,"(3, 1, 0, 16)",-0.330264807,0.330264807,-0.008692447,-3,5,-35,-0.09101786,0.912899971,0.9131,0.001399994,0.0014,0.285491765,0.33121577,0.386470556,0.715772212,147,275,0.329301655,128
758,model_0_757,conv2d/kernel,0,2,"(3, 3, 0, 4)",-0.27436161,0.27436161,0.274364501,127,2,123,0.2657203,0.911000013,0.9108,-0.000499964,-0.0009,0.289113075,0.34255138,-0.792122722,-0.757545948,-367,-351,0.034576774,16
759,model_0_758,conv2d/kernel,0,2,"(2, 3, 0, 26)",-0.130111679,0.130111679,-0.020776715,-20,4,-4,-0.004098006,0.91170001,0.912,0.000200033,0.0003,0.288635105,0.34031236,0.180977941,0.114263102,175,111,0.066714838,64
760,model_0_759,conv2d/kernel,0,2,"(1, 4, 0, 18)",-1.18043077,1.18043077,0.198737338,21,4,5,0.046473652,0.91170001,0.9114,0.000200033,-0.0003,0.28894493,0.33963856,-0.441733152,0.01505791,-46,2,0.456791073,48
761,model_0_760,conv2d/kernel,0,2,"(3, 3, 0, 6)",-0.326976389,0.326976389,-0.221055835,-86,5,-118,-0.303804834,0.912,0.912,0.000500023,0.0003,0.289002299,0.34449828,0.809896946,1.140892982,315,443,0.330996037,128
762,model_0_761,conv2d/kernel,0,2,"(0, 1, 0, 7)",-0.172162175,0.172162175,-0.12500447,-92,6,-28,-0.037957015,0.912,0.9118,0.000500023,0.0001,0.288778186,0.33922094,0.232172817,-0.028969541,170,-22,0.261142373,192
763,model_0_762,conv2d/kernel,0,2,"(4, 2, 0, 9)",-0.290123671,0.290123671,0.033619773,15,1,13,0.029697699,0.911499977,0.9115,0,-0.0002,0.28914544,0.3393964,0.072183579,0.083949804,32,38,0.011766225,6
764,model_0_763,conv2d/kernel,0,2,"(2, 1, 0, 6)",-0.326976389,0.326976389,-0.054242667,-21,0,-22,-0.056641579,0.912299991,0.9118,0.000800014,0.0001,0.289041221,0.3402642,0.426824063,0.436419725,165,169,0.009595662,4
765,model_0_764,conv2d/kernel,0,2,"(1, 0, 0, 27)",-0.258021235,0.258021235,0.08476831,42,0,43,0.087361521,0.911599994,0.9118,0.000100017,0.0001,0.289399624,0.33964327,-0.447357565,-0.455137193,-222,-225,0.007779628,3
766,model_0_765,conv2d/kernel,0,2,"(3, 3, 0, 17)",-0.354993403,0.354993403,-0.048896939,-17,6,-81,-0.226413115,0.912,0.9119,0.000500023,0.0002,0.289143443,0.34172758,-0.313558489,0.39650625,-114,142,0.710064769,256
767,model_0_766,conv2d/kernel,0,2,"(3, 4, 0, 4)",-0.27436161,0.27436161,-0.038285069,-18,3,-26,-0.056168519,0.911499977,0.9116,0,-1.00E-04,0.28934592,0.3384199,0.465546191,0.51919657,217,241,0.053650379,24
768,model_0_767,conv2d/kernel,0,2,"(3, 3, 0, 8)",-0.328984618,0.328984618,-0.163251594,-63,4,-47,-0.121750213,0.911599994,0.9118,0.000100017,0.0001,0.28888312,0.34247467,0.056059256,-0.109946266,21,-43,0.166005522,64
769,model_0_768,conv2d/kernel,0,2,"(2, 1, 0, 5)",-0.220885202,0.220885202,0.062966973,36,2,32,0.055656114,0.911899984,0.9121,0.000400007,0.0004,0.289339304,0.3425835,-0.256925106,-0.227681667,-147,-131,0.029243439,16
770,model_0_769,conv2d/kernel,0,2,"(1, 4, 0, 29)",-0.171829075,0.171829075,0.09227746,68,1,70,0.094708939,0.911000013,0.9115,-0.000499964,-0.0002,0.289076567,0.3392734,-0.155841276,-0.163135722,-115,-121,0.007294446,6
771,model_0_770,conv2d/kernel,0,2,"(4, 4, 0, 12)",-0.795537233,0.795537233,-0.129269838,-21,7,107,0.670255779,0.908800006,0.9091,-0.002699971,-0.0026,0.302483022,0.3645393,0.148646027,-1.450405121,25,-231,1.599051118,256
772,model_0_771,conv2d/kernel,0,2,"(3, 3, 0, 13)",-0.302569419,0.302569419,0.070232749,29,3,21,0.050031164,0.911300004,0.9114,-0.000199974,-0.0003,0.289028525,0.34056124,-0.550295591,-0.469489217,-229,-197,0.080806375,32
773,model_0_772,conv2d/kernel,0,2,"(3, 0, 0, 17)",-0.354993403,0.354993403,-0.150419787,-54,6,-118,-0.32983639,0.911199987,0.9112,-0.00029999,-0.0005,0.289139032,0.34142146,0.154401883,0.692651749,56,248,0.53824985,192
774,model_0_773,conv2d/kernel,0,2,"(0, 4, 0, 6)",-0.326976389,0.326976389,-0.012604062,-5,5,-37,-0.095260838,0.911899984,0.9118,0.000400007,0.0001,0.290496141,0.34662256,-0.351422995,-0.186109453,-136,-72,0.165313542,64
775,model_0_774,conv2d/kernel,0,2,"(2, 0, 0, 5)",-0.220885202,0.220885202,0.038442653,22,2,18,0.031306564,0.911800027,0.9123,0.00030005,0.0006,0.289365798,0.3425657,0.095768273,0.11717654,55,67,0.021408267,12
776,model_0_775,conv2d/kernel,0,2,"(4, 4, 0, 11)",-0.262992531,0.262992531,-0.047822241,-23,0,-24,-0.049699376,0.912,0.9119,0.000500023,0.0002,0.289128065,0.34041217,0.150194108,0.153948396,72,74,0.003754288,2
777,model_0_776,conv2d/kernel,0,2,"(2, 3, 0, 4)",-0.27436161,0.27436161,0.097883187,45,2,41,0.088573433,0.91140002,0.9115,-1.00E-04,-0.0002,0.289152354,0.33967224,-0.104956694,-0.067717679,-47,-31,0.037239015,16
778,model_0_777,conv2d/kernel,0,2,"(4, 1, 0, 14)",-1.873036027,1.873036027,-0.089605413,-6,1,-8,-0.117986521,0.911899984,0.912,0.000400007,0.0003,0.289421052,0.34170684,-0.738528132,-0.653384805,-50,-44,0.085143328,6
779,model_0_778,conv2d/kernel,0,2,"(1, 2, 0, 9)",-0.290123671,0.290123671,0.086470798,38,7,-90,-0.205599452,0.910600007,0.9104,-0.000899971,-0.0013,0.292128503,0.34344962,-0.313866228,0.854414821,-139,373,1.168281078,512
780,model_0_779,conv2d/kernel,0,2,"(0, 4, 0, 4)",-0.27436161,0.27436161,0.029105041,13,3,5,0.010801638,0.912500024,0.9124,0.001000047,0.0007,0.289232522,0.34380007,-0.020432666,0.016174152,-9,7,0.036606818,16
781,model_0_780,conv2d/kernel,0,2,"(1, 0, 0, 23)",-0.235325426,0.235325426,0.034920771,19,4,3,0.005558868,0.911199987,0.9113,-0.00029999,-0.0004,0.288688123,0.3388981,0.36277318,0.450858891,195,243,0.088085711,48
782,model_0_781,conv2d/kernel,0,2,"(1, 0, 0, 21)",-0.256146193,0.256146193,-0.229545861,-114,6,-50,-0.100844958,0.912400007,0.912,0.00090003,0.0003,0.290082365,0.3424252,0.399162531,0.013059802,198,6,0.386102736,192
783,model_0_782,conv2d/kernel,0,2,"(3, 0, 0, 6)",-0.326976389,0.326976389,0.044655398,17,3,25,0.064365431,0.910700023,0.9107,-0.000799954,-0.001,0.28976661,0.34213352,-0.201384097,-0.26051423,-77,-101,0.059130132,24
784,model_0_783,conv2d/kernel,0,2,"(0, 2, 0, 22)",-0.276467115,0.276467115,-0.175287902,-81,0,-82,-0.178506326,0.91170001,0.9122,0.000200033,0.0005,0.289326787,0.3415779,0.493161768,0.502817035,228,231,0.009655267,3
785,model_0_784,conv2d/kernel,0,2,"(1, 2, 0, 9)",-0.290123671,0.290123671,0.086470798,38,2,34,0.077670904,0.91170001,0.9116,0.000200033,-1.00E-04,0.289586961,0.3418667,-0.313866228,-0.278666645,-139,-123,0.035199583,16
786,model_0_785,conv2d/kernel,0,2,"(0, 3, 0, 21)",-0.256146193,0.256146193,0.255823523,127,1,125,0.252112394,0.912500024,0.9125,0.001000047,0.0008,0.289366633,0.3415793,-0.826650023,-0.815516531,-411,-405,0.011133492,6
787,model_0_786,conv2d/kernel,0,2,"(0, 2, 0, 31)",-0.314860284,0.314860284,-0.114347458,-46,6,-110,-0.272713632,0.911899984,0.9118,0.000400007,0.0001,0.287320703,0.33702183,0.10179913,0.576897681,41,233,0.47509855,192
788,model_0_787,conv2d/kernel,0,2,"(4, 1, 0, 23)",-0.235325426,0.235325426,-0.106924482,-58,0,-57,-0.105618498,0.911499977,0.9116,0,-1.00E-04,0.289119661,0.33944958,0.477442741,0.473524809,258,255,0.003917933,3
789,model_0_788,conv2d/kernel,0,2,"(3, 4, 0, 1)",-0.40498513,0.40498513,-0.154356435,-48,5,-16,-0.051021749,0.910600007,0.9108,-0.000899971,-0.0009,0.290642917,0.3450253,0.340402961,0.030398916,106,10,0.310004056,96
790,model_0_789,conv2d/kernel,0,2,"(2, 1, 0, 18)",-1.18043077,1.18043077,0.09027648,10,2,14,0.130126227,0.911300004,0.9114,-0.000199974,-0.0003,0.289431065,0.33980453,-1.003051996,-1.162451029,-109,-125,0.159399033,16
791,model_0_790,conv2d/kernel,0,2,"(3, 2, 0, 26)",-0.130111679,0.130111679,0.01565443,15,1,13,0.013318518,0.912100017,0.9124,0.00060004,0.0007,0.289191365,0.33952662,-0.077424355,-0.068080708,-75,-67,0.009343646,8
792,model_0_791,conv2d/kernel,0,2,"(2, 1, 0, 29)",-0.171829075,0.171829075,0.028690627,21,7,-107,-0.144769378,0.9102,0.9101,-0.001299977,-0.0016,0.29014647,0.34469044,-0.19529441,0.498545587,-144,368,0.693840027,512
793,model_0_792,conv2d/kernel,0,2,"(2, 2, 0, 28)",-0.337554872,0.337554872,-0.118562549,-45,4,-61,-0.162132655,0.912199974,0.912,0.000699997,0.0003,0.289077103,0.34335548,0.514148712,0.688429117,195,259,0.174280405,64
794,model_0_793,conv2d/kernel,0,2,"(1, 4, 0, 29)",-0.171829075,0.171829075,0.09227746,68,6,4,0.005411939,0.910899997,0.9109,-0.00059998,-0.0008,0.290520757,0.34369257,-0.155841276,0.10475529,-115,77,0.260596573,192
795,model_0_794,conv2d/kernel,0,2,"(0, 1, 0, 10)",-1.858117223,1.858117223,-1.4451015,-99,4,-115,-1.682547091,0.91170001,0.9119,0.000200033,0.0002,0.28921771,0.34080753,1.757966042,2.47030282,120,168,0.712336779,48
796,model_0_795,conv2d/kernel,0,2,"(2, 1, 0, 1)",-0.40498513,0.40498513,-0.000625942,0,6,64,0.204086995,0.910899997,0.9107,-0.00059998,-0.001,0.292859972,0.34627518,-0.10790363,-0.926755369,-35,-291,0.818851709,256
797,model_0_796,conv2d/kernel,0,2,"(2, 0, 0, 8)",-0.328984618,0.328984618,0.068066657,26,6,90,0.233138706,0.9102,0.9103,-0.001299977,-0.0014,0.290406287,0.34373683,0.04377038,-0.451445758,18,-174,0.495216131,192
798,model_0_797,conv2d/kernel,0,2,"(3, 3, 0, 15)",-0.315448165,0.315448165,0.192994684,78,1,76,0.18877213,0.912400007,0.9123,0.00090003,0.0006,0.289070308,0.34256533,-0.601937354,-0.585047126,-244,-236,0.016890228,8
799,model_0_798,conv2d/kernel,0,2,"(3, 2, 0, 28)",-0.337554872,0.337554872,-0.129634351,-49,2,-53,-0.140869356,0.911899984,0.912,0.000400007,0.0003,0.288833678,0.34266296,0.309935749,0.354875743,117,133,0.044939995,16
800,model_0_799,conv2d/kernel,0,2,"(3, 1, 0, 29)",-0.171829075,0.171829075,-0.040577959,-30,5,-62,-0.08388506,0.911300004,0.9111,-0.000199974,-0.0006,0.289641887,0.3397688,-0.048820242,0.124408156,-36,92,0.173228398,128
801,model_0_800,conv2d/kernel,0,2,"(1, 3, 0, 0)",-0.418046981,0.418046981,0.088097766,27,7,-101,-0.33246256,0.91170001,0.912,0.000200033,0.0003,0.287416071,0.33709309,-0.682499886,0.999741316,-207,305,1.682241201,512
802,model_0_801,conv2d/kernel,0,2,"(1, 2, 0, 22)",-0.276467115,0.276467115,-0.066090219,-30,2,-26,-0.056599567,0.912299991,0.9122,0.000800014,0.0005,0.2893098,0.34075868,-0.122913525,-0.160876125,-58,-74,0.037962601,16
803,model_0_802,conv2d/kernel,0,2,"(3, 2, 0, 27)",-0.258021235,0.258021235,0.030655125,15,3,7,0.014221643,0.911800027,0.9119,0.00030005,0.0002,0.28955704,0.34396487,-0.178250059,-0.11251612,-87,-55,0.065733939,32
804,model_0_803,conv2d/kernel,0,2,"(4, 4, 0, 15)",-0.315448165,0.315448165,0.002646651,1,5,33,0.081966846,0.91170001,0.9113,0.000200033,-0.0004,0.289187431,0.34382045,0.137269437,-0.021370962,55,-9,0.1586404,64
805,model_0_804,conv2d/kernel,0,2,"(0, 2, 0, 25)",-0.263781607,0.263781607,-0.02466467,-12,3,-4,-0.008308082,0.912699997,0.9124,0.00120002,0.0007,0.289609849,0.3417123,0.321379602,0.27230981,155,131,0.049069792,24
806,model_0_805,conv2d/kernel,0,2,"(4, 4, 0, 26)",-0.130111679,0.130111679,-0.07277488,-71,7,57,0.058396581,0.91079998,0.9112,-0.000699997,-0.0005,0.288742125,0.33647934,0.185246021,-0.077096909,181,-75,0.26234293,256
807,model_0_806,conv2d/kernel,0,2,"(1, 0, 0, 12)",-0.795537233,0.795537233,-0.046984497,-8,5,-40,-0.250562908,0.91140002,0.9113,-1.00E-04,-0.0004,0.288988411,0.33766276,0.335620046,0.946355283,55,151,0.610735238,96
808,model_0_807,conv2d/kernel,0,2,"(0, 3, 0, 24)",-0.3867037,0.3867037,-0.196703777,-65,7,63,0.191829394,0.9102,0.9102,-0.001299977,-0.0015,0.292181194,0.34124842,0.347002476,-0.818597078,116,-268,1.165599585,384
809,model_0_808,conv2d/kernel,0,2,"(0, 0, 0, 10)",-1.858117223,1.858117223,-0.256937355,-18,0,-17,-0.248724353,0.91140002,0.9117,-1.00E-04,0,0.289154112,0.33858803,-2.167115688,-2.183541775,-147,-149,0.016426086,2
810,model_0_809,conv2d/kernel,0,2,"(2, 1, 0, 18)",-1.18043077,1.18043077,0.09027648,10,3,2,0.018589461,0.911599994,0.9116,0.000100017,-1.00E-04,0.289354324,0.34171367,-1.003051996,-0.716303885,-109,-77,0.286748111,32
811,model_0_810,conv2d/kernel,0,2,"(2, 0, 0, 29)",-0.171829075,0.171829075,-0.100873284,-75,1,-73,-0.098767893,0.911499977,0.9119,0,0.0002,0.289212465,0.33970127,0.355221868,0.348905683,264,258,0.006316185,6
812,model_0_811,conv2d/kernel,0,2,"(4, 2, 0, 28)",-0.337554872,0.337554872,-0.150165215,-56,4,-40,-0.106316495,0.911499977,0.9115,0,-0.0002,0.289196759,0.34381476,0.38690418,0.25535804,144,96,0.13154614,48
813,model_0_812,conv2d/kernel,0,2,"(1, 0, 0, 20)",-0.263102025,0.263102025,-0.247545049,-119,3,-127,-0.263102025,0.912,0.9124,0.000500023,0.0007,0.289211005,0.33827475,0.576841831,0.623512745,277,301,0.046670914,24
814,model_0_813,conv2d/kernel,0,2,"(4, 2, 0, 9)",-0.290123671,0.290123671,0.033619773,15,4,31,0.070817589,0.910899997,0.9106,-0.00059998,-0.0011,0.289521426,0.34295332,0.072183579,-0.039409861,32,-16,0.11159344,48
815,model_0_814,conv2d/kernel,0,2,"(3, 1, 0, 8)",-0.328984618,0.328984618,-0.081333444,-31,5,-63,-0.163197094,0.912599981,0.9129,0.001100004,0.0012,0.289550155,0.34063214,0.427497149,0.754951775,164,292,0.327454627,128
816,model_0_815,conv2d/kernel,0,2,"(4, 3, 0, 20)",-0.263102025,0.263102025,-0.00475322,-2,4,-18,-0.037290051,0.91140002,0.9114,-1.00E-04,-0.0003,0.288401604,0.33793905,-0.126923054,-0.029312566,-62,-14,0.097610489,48
817,model_0_816,conv2d/kernel,0,2,"(1, 4, 0, 30)",-0.347597718,0.347597718,0.025836704,9,0,8,0.021895919,0.911800027,0.9119,0.00030005,0.0002,0.289153993,0.340306,-0.051630244,-0.039807882,-17,-14,0.011822361,3
818,model_0_817,conv2d/kernel,0,2,"(0, 1, 0, 29)",-0.171829075,0.171829075,0.001729522,1,3,9,0.012176864,0.912,0.9118,0.000500023,0.0001,0.289293587,0.34071946,0.19154954,0.16020754,142,118,0.031342,24
819,model_0_818,conv2d/kernel,0,2,"(3, 3, 0, 6)",-0.326976389,0.326976389,-0.221055835,-86,2,-82,-0.211118613,0.911300004,0.9113,-0.000199974,-0.0004,0.289659709,0.34296045,0.809896946,0.770148039,315,299,0.039748907,16
820,model_0_819,conv2d/kernel,0,2,"(4, 2, 0, 15)",-0.315448165,0.315448165,-0.074393183,-30,7,98,0.243416694,0.911499977,0.9114,0,-0.0003,0.28954345,0.34226838,0.079209812,-0.874219894,31,-353,0.953429699,384
821,model_0_820,conv2d/kernel,0,2,"(2, 1, 0, 7)",-0.172162175,0.172162175,-0.172574118,-127,0,-128,-0.173517783,0.911499977,0.9117,0,0,0.28909108,0.3396423,0.56786257,0.571637213,418,422,0.003774643,4
822,model_0_821,conv2d/kernel,0,2,"(4, 1, 0, 16)",-0.330264807,0.330264807,0.126758412,49,6,113,0.293857663,0.910000026,0.9102,-0.001499951,-0.0015,0.30087769,0.35753956,-0.123544544,-0.624842286,-48,-240,0.501297712,192
823,model_0_822,conv2d/kernel,0,2,"(2, 2, 0, 17)",-0.354993403,0.354993403,-0.075949386,-27,1,-25,-0.069880591,0.911899984,0.9123,0.000400007,0.0006,0.288945168,0.34044498,-0.25854665,-0.282821834,-93,-101,0.024275184,8
824,model_0_823,conv2d/kernel,0,2,"(4, 4, 0, 16)",-0.330264807,0.330264807,0.035142418,14,2,10,0.026005103,0.911899984,0.9119,0.000400007,0.0002,0.288939089,0.34023696,0.14870654,0.166981161,56,64,0.01827462,8
825,model_0_824,conv2d/kernel,0,2,"(1, 1, 0, 10)",-1.858117223,1.858117223,-1.858564377,-127,5,-95,-1.389930206,0.911599994,0.9115,0.000100017,-0.0002,0.289285779,0.33990556,3.4377985,1.563261747,236,108,1.874536753,128
826,model_0_825,conv2d/kernel,0,2,"(2, 0, 0, 15)",-0.315448165,0.315448165,0.181904688,73,3,65,0.161449848,0.912199974,0.9124,0.000699997,0.0007,0.288984865,0.34364167,-0.49370569,-0.432341158,-198,-174,0.061364532,24
827,model_0_826,conv2d/kernel,0,2,"(1, 4, 0, 13)",-0.302569419,0.302569419,0.091833211,39,3,47,0.111974509,0.911300004,0.9116,-0.000199974,-1.00E-04,0.289601445,0.341404,0.007519074,-0.052904814,1,-23,0.060423888,24
828,model_0_827,conv2d/kernel,0,2,"(4, 4, 0, 2)",-0.196166009,0.196166009,-0.196038336,-127,4,-111,-0.171452181,0.911899984,0.9121,0.000400007,0.0004,0.288964003,0.3383019,0.306363285,0.257190973,199,167,0.049172312,32
829,model_0_828,conv2d/kernel,0,2,"(3, 3, 0, 18)",-1.18043077,1.18043077,0.128872797,14,6,78,0.724988977,0.910099983,0.9102,-0.001399994,-0.0015,0.294813514,0.35147926,-0.295269966,-2.679734707,-32,-288,2.384464741,256
