;name;layer_key;kernel_index;layer_index;n_bits_flipped_per_channel;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
68;7_20230519 08:03:43;quant_conv2d;1;2;1;Random with 8 steps;0.8561999797821045;-0.05540001392364502;0.49874618649482727
69;7_20230519 08:03:59;quant_conv2d;1;2;2;Random with 8 steps;0.8109999895095825;-0.10060000419616699;0.7462457418441772
70;7_20230519 08:04:22;quant_conv2d;1;2;3;Random with 8 steps;0.7696999907493591;-0.14190000295639038;0.9717446565628052
71;7_20230519 08:04:50;quant_conv2d;1;2;4;Random with 8 steps;0.7371000051498413;-0.1744999885559082;1.2147712707519531
72;8_20230519 08:05:00;quant_conv2d;1;2;1;Random with 8 steps;0.8572999835014343;-0.054300010204315186;0.5225942134857178
73;8_20230519 08:05:16;quant_conv2d;1;2;2;Random with 8 steps;0.8068000078201294;-0.10479998588562012;0.7671817541122437
74;8_20230519 08:05:39;quant_conv2d;1;2;3;Random with 8 steps;0.7803000211715698;-0.1312999725341797;0.9537558555603027
75;8_20230519 08:06:07;quant_conv2d;1;2;4;Random with 8 steps;0.7376999855041504;-0.17390000820159912;1.2175318002700806
76;9_20230519 08:06:16;quant_conv2d;1;2;1;Random with 8 steps;0.8607000112533569;-0.05089998245239258;0.49834394454956055
77;9_20230519 08:06:32;quant_conv2d;1;2;2;Random with 8 steps;0.8118000030517578;-0.0997999906539917;0.7379406094551086
78;9_20230519 08:06:54;quant_conv2d;1;2;3;Random with 8 steps;0.7682999968528748;-0.14329999685287476;0.9926486611366272
79;9_20230519 08:07:23;quant_conv2d;1;2;4;Random with 8 steps;0.7282000184059143;-0.1833999752998352;1.2562201023101807
