;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
62;0_2023-05-23 09:56:03;quant_conv2d;1;2;7;7;0.9117;9.999999999998899e-05;0.28917965
63;0_2023-05-23 09:56:08;quant_conv2d;1;2;8;7;0.9117;9.999999999998899e-05;0.28910497
64;0_2023-05-23 09:56:11;quant_conv2d;1;2;1;8;0.9116;0.0;0.28918397
65;0_2023-05-23 09:56:16;quant_conv2d;1;2;2;8;0.9116;0.0;0.28918433
66;0_2023-05-23 09:56:20;quant_conv2d;1;2;3;8;0.9116;0.0;0.28914922
67;0_2023-05-23 09:56:24;quant_conv2d;1;2;4;8;0.9117;9.999999999998899e-05;0.28913927
68;0_2023-05-23 09:56:28;quant_conv2d;1;2;5;8;0.9117;9.999999999998899e-05;0.2891333
69;0_2023-05-23 09:56:32;quant_conv2d;1;2;6;8;0.9116;0.0;0.2892039
70;0_2023-05-23 09:56:36;quant_conv2d;1;2;7;8;0.9118;0.000200000000000089;0.28922543
71;0_2023-05-23 09:56:41;quant_conv2d;1;2;8;8;0.9117;9.999999999998899e-05;0.28909963
72;0_2023-05-23 09:56:44;quant_conv2d;1;2;1;9;0.9116;0.0;0.28919786
73;0_2023-05-23 09:56:48;quant_conv2d;1;2;2;9;0.9118;0.000200000000000089;0.289139
74;0_2023-05-23 09:56:51;quant_conv2d;1;2;3;9;0.9118;0.000200000000000089;0.28921998
75;0_2023-05-23 09:56:55;quant_conv2d;1;2;4;9;0.9117;9.999999999998899e-05;0.28916278
76;0_2023-05-23 09:56:59;quant_conv2d;1;2;5;9;0.9115;-9.999999999998899e-05;0.28911403
77;0_2023-05-23 09:57:03;quant_conv2d;1;2;6;9;0.9118;0.000200000000000089;0.2891647
78;0_2023-05-23 09:57:07;quant_conv2d;1;2;7;9;0.9117;9.999999999998899e-05;0.28916323
79;0_2023-05-23 09:57:12;quant_conv2d;1;2;8;9;0.9117;9.999999999998899e-05;0.2890701
80;0_2023-05-23 09:57:15;quant_conv2d;1;2;1;10;0.9116;0.0;0.28920025
81;0_2023-05-23 09:57:19;quant_conv2d;1;2;2;10;0.9118;0.000200000000000089;0.28914595
82;0_2023-05-23 09:57:22;quant_conv2d;1;2;3;10;0.9114;-0.00019999999999997797;0.28928202
83;0_2023-05-23 09:57:26;quant_conv2d;1;2;4;10;0.9113;-0.00029999999999996696;0.28915375
