,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
518,2023/05/18 15:41:21,quant_conv2d,1,4,15,0.9120000004768372,0.0004000067710876465,0.28943610191345215
519,2023/05/18 15:41:24,quant_conv2d,1,5,15,0.9108999967575073,-0.0006999969482421875,0.28927335143089294
520,2023/05/18 15:41:28,quant_conv2d,1,6,15,0.9104999899864197,-0.001100003719329834,0.29050832986831665
521,2023/05/18 15:41:31,quant_conv2d,1,7,15,0.9117000102996826,0.00010001659393310547,0.2897932231426239
522,2023/05/18 15:41:35,quant_conv2d,1,8,15,0.9121999740600586,0.000599980354309082,0.28873470425605774
523,2023/05/18 15:41:39,quant_conv2d,1,9,15,0.9107999801635742,-0.000800013542175293,0.2906477153301239
524,2023/05/18 15:41:44,quant_conv2d,1,10,15,0.9125999808311462,0.0009999871253967285,0.29039090871810913
525,2023/05/18 15:41:49,quant_conv2d,1,11,15,0.911899983882904,0.000299990177154541,0.2903675436973572
526,2023/05/18 15:41:53,quant_conv2d,1,12,15,0.9103999733924866,-0.0012000203132629395,0.2918853461742401
527,2023/05/18 15:41:57,quant_conv2d,1,13,15,0.9107000231742859,-0.000899970531463623,0.2914600968360901
528,2023/05/18 15:42:01,quant_conv2d,1,14,15,0.9117000102996826,0.00010001659393310547,0.2905375361442566
529,2023/05/18 15:42:06,quant_conv2d,1,15,15,0.9107999801635742,-0.000800013542175293,0.2892117202281952
530,2023/05/18 15:42:09,quant_conv2d,1,1,23,0.90829998254776,-0.003300011157989502,0.30232715606689453
531,2023/05/18 15:42:12,quant_conv2d,1,2,23,0.9041000008583069,-0.007499992847442627,0.31475239992141724
532,2023/05/18 15:42:16,quant_conv2d,1,3,23,0.9017000198364258,-0.00989997386932373,0.32334405183792114
533,2023/05/18 15:42:19,quant_conv2d,1,4,23,0.8999999761581421,-0.011600017547607422,0.33417198061943054
534,2023/05/18 15:42:23,quant_conv2d,1,5,23,0.8938999772071838,-0.017700016498565674,0.3509361147880554
535,2023/05/18 15:42:26,quant_conv2d,1,6,23,0.8931000232696533,-0.01849997043609619,0.3631353974342346
536,2023/05/18 15:42:30,quant_conv2d,1,7,23,0.891700029373169,-0.019899964332580566,0.3772362470626831
