,reference,layer_key,kernel_index,layer_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
24404,2023/05/21 23:15:15,quant_conv2d,1,2,5,10,0.9120000004768372,0.0004000067710876465,0.28926485776901245
24405,2023/05/21 23:15:19,quant_conv2d,1,2,6,10,0.9117000102996826,0.00010001659393310547,0.28942054510116577
24406,2023/05/21 23:15:22,quant_conv2d,1,2,7,10,0.9114999771118164,-0.00010001659393310547,0.28926485776901245
24407,2023/05/21 23:15:26,quant_conv2d,1,2,8,10,0.9118000268936157,0.00020003318786621094,0.289279967546463
24408,2023/05/21 23:15:29,quant_conv2d,1,2,1,11,0.9114000201225281,-0.00019997358322143555,0.2893095016479492
24409,2023/05/21 23:15:32,quant_conv2d,1,2,2,11,0.9117000102996826,0.00010001659393310547,0.28897175192832947
24410,2023/05/21 23:15:35,quant_conv2d,1,2,3,11,0.9118000268936157,0.00020003318786621094,0.2891729176044464
24411,2023/05/21 23:15:39,quant_conv2d,1,2,4,11,0.9114000201225281,-0.00019997358322143555,0.2892303764820099
24412,2023/05/21 23:15:42,quant_conv2d,1,2,5,11,0.9121000170707703,0.000500023365020752,0.28924599289894104
24413,2023/05/21 23:15:46,quant_conv2d,1,2,6,11,0.911899983882904,0.000299990177154541,0.2889910936355591
24414,2023/05/21 23:15:50,quant_conv2d,1,2,7,11,0.9120000004768372,0.0004000067710876465,0.2891910970211029
24415,2023/05/21 23:15:53,quant_conv2d,1,2,8,11,0.9122999906539917,0.0006999969482421875,0.28904610872268677
24416,2023/05/21 23:15:57,quant_conv2d,1,2,1,12,0.911899983882904,0.000299990177154541,0.28911951184272766
24417,2023/05/21 23:16:00,quant_conv2d,1,2,2,12,0.9118000268936157,0.00020003318786621094,0.2891954779624939
24418,2023/05/21 23:16:04,quant_conv2d,1,2,3,12,0.9115999937057495,0.0,0.2892293334007263
24419,2023/05/21 23:16:08,quant_conv2d,1,2,4,12,0.9115999937057495,0.0,0.2893970012664795
24420,2023/05/21 23:16:12,quant_conv2d,1,2,5,12,0.9121000170707703,0.000500023365020752,0.28924068808555603
24421,2023/05/21 23:16:15,quant_conv2d,1,2,6,12,0.9128000140190125,0.0012000203132629395,0.2892812192440033
24422,2023/05/21 23:16:19,quant_conv2d,1,2,7,12,0.9114000201225281,-0.00019997358322143555,0.2893739640712738
24423,2023/05/21 23:16:22,quant_conv2d,1,2,8,12,0.9120000004768372,0.0004000067710876465,0.2892059087753296
24424,2023/05/21 23:16:26,quant_conv2d,1,2,1,13,0.9115999937057495,0.0,0.2893015742301941
24425,2023/05/21 23:16:29,quant_conv2d,1,2,2,13,0.9111999869346619,-0.0004000067710876465,0.28922516107559204
24426,2023/05/21 23:16:33,quant_conv2d,1,2,3,13,0.9124000072479248,0.000800013542175293,0.289299339056015
24427,2023/05/21 23:16:36,quant_conv2d,1,2,4,13,0.9111999869346619,-0.0004000067710876465,0.28921812772750854
24428,2023/05/21 23:16:39,quant_conv2d,1,2,5,13,0.9115999937057495,0.0,0.289096862077713
24429,2023/05/21 23:16:43,quant_conv2d,1,2,6,13,0.911300003528595,-0.000299990177154541,0.2895222306251526
24430,2023/05/21 23:16:47,quant_conv2d,1,2,7,13,0.9117000102996826,0.00010001659393310547,0.28883206844329834
24431,2023/05/21 23:16:52,quant_conv2d,1,2,8,13,0.9117000102996826,0.00010001659393310547,0.2893581688404083
24432,2023/05/21 23:16:56,quant_conv2d,1,2,1,14,0.911899983882904,0.000299990177154541,0.2893088459968567
24433,2023/05/21 23:17:00,quant_conv2d,1,2,2,14,0.9118000268936157,0.00020003318786621094,0.2892268896102905
24434,2023/05/21 23:17:03,quant_conv2d,1,2,3,14,0.9118000268936157,0.00020003318786621094,0.2894185781478882
24435,2023/05/21 23:17:07,quant_conv2d,1,2,4,14,0.9114000201225281,-0.00019997358322143555,0.28934210538864136
24436,2023/05/21 23:17:11,quant_conv2d,1,2,5,14,0.9120000004768372,0.0004000067710876465,0.2895819842815399
24437,2023/05/21 23:17:15,quant_conv2d,1,2,6,14,0.9121000170707703,0.000500023365020752,0.2887192666530609
24438,2023/05/21 23:17:19,quant_conv2d,1,2,7,14,0.9120000004768372,0.0004000067710876465,0.289250910282135
24439,2023/05/21 23:17:23,quant_conv2d,1,2,8,14,0.911300003528595,-0.000299990177154541,0.28966525197029114
24440,2023/05/21 23:17:26,quant_conv2d,1,2,1,15,0.9110999703407288,-0.000500023365020752,0.28921544551849365
24441,2023/05/21 23:17:30,quant_conv2d,1,2,2,15,0.9111999869346619,-0.0004000067710876465,0.2894606590270996
24442,2023/05/21 23:17:33,quant_conv2d,1,2,3,15,0.911899983882904,0.000299990177154541,0.289490282535553
24443,2023/05/21 23:17:36,quant_conv2d,1,2,4,15,0.9114999771118164,-0.00010001659393310547,0.28955939412117004
24444,2023/05/21 23:17:40,quant_conv2d,1,2,5,15,0.9121000170707703,0.000500023365020752,0.2894725799560547
24445,2023/05/21 23:17:43,quant_conv2d,1,2,6,15,0.9118000268936157,0.00020003318786621094,0.29050591588020325
24446,2023/05/21 23:17:47,quant_conv2d,1,2,7,15,0.911300003528595,-0.000299990177154541,0.28981614112854004
24447,2023/05/21 23:17:51,quant_conv2d,1,2,8,15,0.911300003528595,-0.000299990177154541,0.2896321713924408
