,name,layer_affected,kernel_index,layer_affected_index,number_bits_flipped,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_test_accuracy,tflite_test_accuracy,q_aware_test_acc_degradation,tflite_test_acc_degradation,q_aware_test_loss,tflite_test_loss,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
14,model_3_0,dense_last/kernel,3,9,20,"[(36, 9), (83, 1), (12, 4), (7, 0), (33, 2), (20, 2), (70, 3), (58, 9), (44, 3), (23, 7), (70, 9), (9, 9), (62, 4), (69, 9), (34, 7), (69, 3), (80, 7), (22, 8), (34, 3), (95, 9)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[-0.052197795, 0.17185026, -0.32083276, 0.20539321, -0.091623835, 0.2044147, 0.20144105, 0.14211261, 0.22533678, -0.02127755, 0.24029793, -0.14217892, -0.02774202, -0.11489584, -0.91641146, -0.34868398, 0.13731256, -0.08422321, 0.072891176, 0.16988581]","[-5, 17, -31, 20, -9, 20, 20, 14, 22, -2, 23, -14, -3, -11, -89, -34, 13, -8, 7, 16]","[2, 0, 3, 3, 3, 5, 5, 6, 4, 2, 2, 6, 7, 5, 6, 1, 3, 0, 5, 1]","[-1, 16, -23, 28, -1, 52, 52, 78, 6, -6, 19, -78, 125, -43, -25, -36, 5, -7, 39, 18]","[-0.010302724800710603, 0.16484359681136965, -0.23696267041634386, 0.28847629441989686, -0.010302724800710603, 0.5357416896369513, 0.5357416896369513, 0.803612534455427, 0.06181634880426362, -0.06181634880426362, 0.19575177121350146, -0.803612534455427, 1.2878406000888254, -0.44301716643055594, -0.2575681200177651, -0.3708980928255817, 0.05151362400355301, -0.07211907360497422, 0.4018062672277135, 0.18544904641279086]",0.9068999886512756,0.9068,-0.0045999884605407715,-0.004899999999999904,0.3067515194416046,0.3663825,-1.0947912,-1.1259177,-105.0,-109.0,0.0311265,4.0
15,model_3_1,dense_last/kernel,3,9,20,"[(0, 8), (89, 6), (42, 6), (87, 7), (87, 3), (90, 6), (19, 9), (61, 5), (47, 9), (93, 4), (81, 2), (21, 1), (50, 2), (68, 3), (58, 7), (2, 3), (61, 5), (23, 6), (67, 5), (7, 2)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[-0.09102834, 0.20906599, -0.02661413, 0.2634932, 0.27994213, -0.08887385, 0.051290385, -0.2125184, -0.20694476, 0.06322823, 0.24186993, -0.25359482, -0.0923357, -0.0407791, -0.37925032, 0.15107664, 1.1023916, 0.11093089, -0.10807133, -0.23978746]","[-9, 20, -3, 26, 27, -9, 5, -21, -20, 6, 23, -25, -9, -4, -37, 15, -21, 11, -10, -23]","[1, 0, 2, 3, 3, 3, 2, 7, 5, 5, 0, 1, 7, 2, 5, 6, 3, 6, 7, 6]","[-11, 21, -7, 18, 19, -1, 1, 107, -52, 38, 22, -27, 119, -8, -5, 79, -29, 75, 118, -87]","[-0.11332997280781663, 0.21635722081492267, -0.07211907360497422, 0.18544904641279086, 0.19575177121350146, -0.010302724800710603, 0.010302724800710603, 1.1023915536760345, -0.5357416896369513, 0.3915035424270029, 0.22665994561563327, -0.27817356961918627, 1.2260242512845618, -0.08242179840568482, -0.05151362400355301, 0.8139152592561376, -0.2987790192206075, 0.7727043600532952, 1.2157215264838512, -0.8963370576618225]",0.9057999849319458,0.906,-0.0056999921798706055,-0.005699999999999927,0.3090759217739105,0.37328258,0.68850803,3.3147063,65.0,321.0,2.6261983,256.0
16,model_0_0,conv2d/kernel,0,2,20,"[(3, 2, 0, 5), (1, 3, 0, 7), (1, 4, 0, 15), (0, 0, 0, 8), (4, 2, 0, 4), (1, 0, 0, 14), (0, 0, 0, 17), (4, 3, 0, 10), (3, 2, 0, 5), (4, 2, 0, 3), (3, 3, 0, 20), (1, 0, 0, 24), (1, 0, 0, 3), (1, 1, 0, 7), (2, 0, 0, 1), (1, 1, 0, 18), (4, 0, 0, 2), (0, 0, 0, 9), (1, 2, 0, 8), (1, 1, 0, 3)]","[-0.2208852, -0.17216218, -0.31544816, -0.32898462, -0.2743616, -1.873036, -0.3549934, -1.8581172, -0.2208852, -0.28093943, -0.26310202, -0.3867037, -0.28093943, -0.17216218, -0.40498513, -1.1804308, -0.19616601, -0.29012367, -0.32898462, -0.28093943]","[0.2208852, 0.17216218, 0.31544816, 0.32898462, 0.2743616, 1.873036, 0.3549934, 1.8581172, 0.2208852, 0.28093943, 0.26310202, 0.3867037, 0.28093943, 0.17216218, 0.40498513, 1.1804308, 0.19616601, 0.29012367, 0.32898462, 0.28093943]","[-0.2189073, 0.047065992, -0.31505716, -0.009132007, 0.09301272, 0.18687539, 0.11131642, -0.12964128, -0.10783372, -0.050405752, -0.190938, -0.16569445, -0.025150582, -0.1462835, 0.19830011, -0.6615898, 0.014970234, -0.13879769, 0.16955425, 0.22501636]","[-126, 35, -127, -4, 43, 13, 40, -9, -126, -23, -92, -54, -11, -108, 62, -71, 10, -61, 65, 102]","[6, 0, 2, 7, 3, 2, 5, 1, 0, 1, 5, 3, 4, 0, 7, 4, 6, 4, 6, 2]","[-62, 34, -123, 124, 35, 9, 8, -11, -125, -21, -124, -62, -27, -107, -66, -87, 74, -45, 1, 98]","[-0.10783372080232215, 0.0460906610714169, -0.30551278966618334, 0.3212133279935582, 0.07561146743654266, 0.1327348365558414, 0.022361789162703385, -0.16093928701295626, -0.21740669516597208, -0.046454551417057906, -0.25688701633393296, -0.18878448338020504, -0.059727280393360165, -0.14505002160710612, -0.21046471314167414, -0.8086415510477982, 0.11430145389451755, -0.10279972604879244, 0.0025904300644641787, 0.2167879066129369]",0.9106000065803528,0.9104,-0.000899970531463623,-0.0012999999999999678,0.2849213480949402,0.33481634,-0.46602035,-0.43310654,-196.0,-180.0,0.032913804,16.0
17,model_0_1,conv2d/kernel,0,2,20,"[(4, 2, 0, 29), (0, 2, 0, 8), (3, 2, 0, 18), (4, 0, 0, 4), (3, 0, 0, 17), (0, 0, 0, 15), (1, 3, 0, 5), (3, 3, 0, 1), (3, 3, 0, 4), (0, 1, 0, 29), (0, 4, 0, 3), (4, 0, 0, 19), (0, 3, 0, 17), (3, 3, 0, 1), (3, 3, 0, 23), (4, 4, 0, 26), (2, 3, 0, 15), (3, 3, 0, 12), (1, 0, 0, 2), (0, 3, 0, 12)]","[-0.17182907, -0.32898462, -1.1804308, -0.2743616, -0.3549934, -0.31544816, -0.2208852, -0.40498513, -0.2743616, -0.17182907, -0.28093943, -0.34086818, -0.3549934, -0.40498513, -0.23532543, -0.13011168, -0.31544816, -0.79553723, -0.19616601, -0.79553723]","[0.17182907, 0.32898462, 1.1804308, 0.2743616, 0.3549934, 0.31544816, 0.2208852, 0.40498513, 0.2743616, 0.17182907, 0.28093943, 0.34086818, 0.3549934, 0.40498513, 0.23532543, 0.13011168, 0.31544816, 0.79553723, 0.19616601, 0.79553723]","[-0.17164601, 0.19672024, 0.0056467056, -0.2247738, -0.15041979, -0.13582815, 0.00761238, -0.055122953, 0.2743645, 0.0017295225, -0.28052378, 0.086406045, 0.06733059, -0.060588326, -0.10219675, -0.07277488, 0.03874921, 0.06200939, 0.07938875, -0.79570496]","[-127, 76, 1, -104, -54, -55, 4, -17, 127, 1, -127, 32, 24, -17, -55, -71, 16, 10, 51, -127]","[5, 3, 0, 2, 4, 5, 6, 1, 7, 5, 7, 3, 5, 7, 4, 4, 0, 1, 0, 6]","[-95, 68, 0, -100, -38, -23, 68, -19, -1, 33, 1, 40, 56, 111, -39, -87, 17, 8, 50, -63]","[-0.12853355975601616, 0.17614924438356414, 0.0, -0.2160327641044076, -0.10621849852284108, -0.05712840782375786, 0.11826924217028881, -0.060588326510481946, -0.002160327641044076, 0.04464849970472141, 0.0022121214960503766, 0.10736005512748177, 0.1565325241389237, 0.35396338119281556, -0.07226528825722342, -0.08913162291988613, 0.04222534491321233, 0.050112581628514084, 0.07723071209089023, -0.39463658032454846]",0.9064000248908997,0.9061,-0.005099952220916748,-0.005599999999999938,0.30294686555862427,0.35835615,1.4363861,0.233181,229.0,37.0,1.2032051,192.0
18,model_1_0,conv2d_1/kernel,1,4,20,"[(1, 1, 21, 59), (2, 1, 8, 46), (1, 3, 28, 21), (2, 0, 6, 39), (4, 2, 26, 58), (0, 0, 8, 40), (0, 3, 14, 10), (4, 0, 13, 40), (2, 0, 1, 5), (2, 3, 0, 16), (4, 0, 18, 56), (3, 3, 31, 44), (0, 1, 28, 26), (3, 4, 0, 26), (0, 2, 21, 61), (2, 1, 18, 57), (1, 0, 27, 37), (0, 0, 19, 48), (3, 2, 26, 57), (1, 1, 17, 13)]","[-0.52141166, -0.4919573, -0.5622628, -0.40541503, -0.5687687, -0.5135955, -0.59187526, -0.5135955, -0.5425477, -0.5541169, -0.5495671, -0.5272056, -0.41360962, -0.41360962, -0.43715987, -0.3968622, -0.4274976, -0.43508157, -0.3968622, -0.5269838]","[0.52141166, 0.4919573, 0.5622628, 0.40541503, 0.5687687, 0.5135955, 0.59187526, 0.5135955, 0.5425477, 0.5541169, 0.5495671, 0.5272056, 0.41360962, 0.41360962, 0.43715987, 0.3968622, 0.4274976, 0.43508157, 0.3968622, 0.5269838]","[-0.011502137, -0.0650829, -0.04202768, 0.07297007, -0.09835271, -0.13192782, -0.18680914, -0.01851154, 0.11687639, -0.05271368, 0.043807585, 0.094425455, 0.073924705, -0.119912356, -0.23417637, -0.0051783808, -0.09535288, -0.008263541, -0.11719499, 0.016011829]","[-3, -17, -9, 23, -22, -33, -40, -5, 27, -12, 10, 23, 23, -37, -68, -2, -28, -2, -38, 4]","[4, 3, 0, 2, 7, 7, 6, 7, 2, 7, 3, 0, 4, 2, 6, 1, 2, 6, 1, 0]","[-19, -25, -10, 19, 106, 95, -104, 123, 31, 116, 2, 22, 7, -33, -4, -4, -32, -66, -40, 5]","[-0.0780064684199536, -0.09684198953973966, -0.0442726593317948, 0.060652642034170194, 0.4747203156704039, 0.384185626281528, -0.48468524827731874, 0.4974192845539784, 0.13243290383046066, 0.5061225271600438, 0.008654600053321658, 0.09132695198059082, 0.022797380845377763, -0.10747336684249517, -0.013768814680144542, -0.012499597128920667, -0.10771592958705632, -0.22610538353131512, -0.12499597128920668, 0.020747393604338638]",0.9114000201225281,0.9115,-9.995698928833008e-05,-0.00019999999999997797,0.28926992416381836,0.34280014,-0.19255102,-0.21149328,-47.0,-51.0,0.018942267,4.0
19,model_1_1,conv2d_1/kernel,1,4,20,"[(1, 1, 18, 10), (1, 1, 21, 40), (1, 1, 2, 21), (1, 2, 1, 42), (3, 3, 11, 20), (1, 2, 23, 29), (3, 2, 22, 0), (4, 4, 4, 55), (1, 0, 14, 25), (4, 1, 13, 52), (4, 4, 27, 33), (3, 2, 9, 40), (1, 0, 0, 4), (4, 2, 16, 60), (4, 4, 29, 32), (1, 4, 24, 25), (2, 1, 31, 63), (0, 3, 24, 28), (4, 0, 21, 56), (2, 3, 18, 24)]","[-0.59187526, -0.5135955, -0.5622628, -0.6557504, -0.45471308, -0.470208, -0.5184392, -0.50405544, -0.55423445, -0.4550707, -0.44516823, -0.5135955, -0.58753234, -0.42427385, -0.4096759, -0.55423445, -0.40499523, -0.5583135, -0.5495671, -0.7118184]","[0.59187526, 0.5135955, 0.5622628, 0.6557504, 0.45471308, 0.470208, 0.5184392, 0.50405544, 0.55423445, 0.4550707, 0.44516823, 0.5135955, 0.58753234, 0.42427385, 0.4096759, 0.55423445, 0.40499523, 0.5583135, 0.5495671, 0.7118184]","[-0.016617619, -0.07781176, -0.17515919, -0.026461912, -0.020954665, -0.046215974, 0.10856156, -0.07075185, -0.09319846, -0.024352897, -0.19835488, 0.053564057, 0.030011864, 0.2418851, 0.16257437, 0.11226943, 0.00318107, 0.021013953, 0.07858422, -0.064383626]","[-4, -19, -40, -5, -6, -12, 27, -18, -21, -7, -57, 13, 6, 72, 50, 26, 1, 5, 18, -11]","[2, 4, 4, 3, 0, 6, 6, 6, 2, 3, 2, 2, 2, 6, 1, 3, 7, 3, 5, 1]","[-8, -3, -56, -13, -5, -76, 91, -82, -17, -15, -61, 9, 2, 8, 48, 18, -127, 13, 50, -9]","[-0.037283480636716826, -0.012132177672048253, -0.24792689225805087, -0.06712405606517642, -0.017902089620199728, -0.2813843085071233, 0.37148003784690314, -0.32545311901513047, -0.0741888627292603, -0.05374850837264474, -0.21382095940469756, 0.03639653301614476, 0.009252477818586695, 0.02672591171865388, 0.15483813398466337, 0.07855291347804032, -0.40499523282051086, 0.057150199657350076, 0.21636500133304146, -0.050443823412647394]",0.9118000268936157,0.9122,0.0003000497817993164,0.000500000000000056,0.2887220084667206,0.33788326,0.39306685,0.33730763,69.0,61.0,0.05575922,8.0
20,model_2_0,conv2d_2/kernel,2,6,20,"[(2, 2, 49, 46), (2, 1, 52, 74), (1, 0, 14, 65), (0, 2, 39, 7), (2, 1, 48, 7), (2, 0, 16, 65), (2, 0, 17, 12), (0, 0, 8, 38), (0, 1, 61, 51), (0, 2, 16, 82), (1, 0, 41, 28), (1, 0, 8, 92), (1, 2, 22, 5), (1, 0, 24, 64), (2, 2, 58, 15), (0, 2, 56, 32), (1, 2, 43, 65), (2, 0, 41, 15), (2, 0, 13, 91), (1, 2, 45, 1)]","[-0.3968896, -0.39196727, -0.28222787, -0.3530148, -0.3530148, -0.28222787, -0.43329978, -0.41202545, -0.49453902, -0.33409527, -0.4309065, -0.4050469, -0.42240787, -0.4283024, -0.4488265, -0.22439125, -0.28222787, -0.4488265, -0.2407509, -0.084201954]","[0.3968896, 0.39196727, 0.28222787, 0.3530148, 0.3530148, 0.28222787, 0.43329978, 0.41202545, 0.49453902, 0.33409527, 0.4309065, 0.4050469, 0.42240787, 0.4283024, 0.4488265, 0.22439125, 0.28222787, 0.4488265, 0.2407509, 0.084201954]","[0.056365293, -0.10033202, -0.025216276, -0.32141384, -0.0049431026, -0.004350485, 0.035048977, -0.0677446, 0.087685764, -0.07160041, -0.16619776, 0.1219432, -0.011091695, 0.010907353, 0.16509429, -0.048605505, -0.021286726, -0.022659741, -0.01801071, 0.019994386]","[18, -33, -11, -116, -2, -2, 10, -21, 23, -27, -49, 38, -3, 3, 47, -28, -10, -6, -10, 30]","[3, 1, 7, 0, 0, 3, 3, 3, 0, 3, 3, 6, 6, 3, 7, 7, 7, 2, 2, 2]","[26, -35, 117, -115, -1, -10, 2, -29, 22, -19, -57, 102, -67, 11, -81, 100, 118, -2, -14, 26]","[0.08125298839854443, -0.10802247510181637, 0.26000520657366655, -0.3196590681245008, -0.002779644070647833, -0.022222667228518508, 0.006823618580975871, -0.09408455195389395, 0.08566817711657426, -0.04998275684559439, -0.19339898228645325, 0.3253132663373872, -0.22284509441045325, 0.03709705889694334, -0.2862594160507983, 0.17668602504129485, 0.2622274732965184, -0.007068133729649341, -0.026539468624460414, 0.017238195369562764]",0.9115999937057495,0.9116,0.00010001659393310547,-9.999999999998899e-05,0.28914138674736023,0.33982676,0.014634423,0.022902992,23.0,35.0,0.008268569,12.0
21,model_2_1,conv2d_2/kernel,2,6,20,"[(2, 1, 4, 85), (0, 0, 43, 13), (1, 2, 55, 71), (2, 1, 12, 91), (0, 2, 5, 78), (0, 2, 38, 51), (2, 2, 19, 8), (2, 0, 47, 29), (2, 1, 61, 64), (0, 2, 12, 55), (2, 2, 17, 64), (2, 1, 23, 79), (1, 2, 18, 62), (1, 2, 15, 37), (2, 0, 61, 92), (0, 1, 53, 38), (0, 2, 10, 0), (1, 2, 45, 20), (2, 1, 57, 75), (2, 2, 27, 53)]","[-0.42447054, -0.10020692, -0.41618958, -0.2407509, -0.5793028, -0.49453902, -0.3880544, -0.32449234, -0.4283024, -0.44954783, -0.4283024, -0.36912605, -0.45138773, -0.38667053, -0.4050469, -0.41202545, -0.08687074, -0.38522574, -0.08397249, -0.43403077]","[0.42447054, 0.10020692, 0.41618958, 0.2407509, 0.5793028, 0.49453902, 0.3880544, 0.32449234, 0.4283024, 0.44954783, 0.4283024, 0.36912605, 0.45138773, 0.38667053, 0.4050469, 0.41202545, 0.08687074, 0.38522574, 0.08397249, 0.43403077]","[-0.05159559, -0.019998586, 0.008095977, 0.10808919, -0.33430082, -0.08581737, -0.15957578, 0.04912397, 0.047514986, -0.056640852, -0.08839952, 0.13953382, -0.06253449, 0.10485948, -0.1323551, -0.23024592, -0.0010029129, -0.03186837, -0.01741261, 0.089113995]","[-15, -25, 2, 57, -73, -22, -52, 19, 14, -16, -26, 48, -18, 34, -41, -71, -1, -11, -26, 26]","[3, 4, 6, 0, 7, 6, 7, 3, 5, 7, 5, 3, 6, 1, 1, 2, 2, 5, 6, 5]","[-7, -9, 66, 56, 55, -86, 76, 27, 46, 112, -58, 56, -82, 32, -43, -67, -5, -43, -90, 58]","[-0.023396014228580505, -0.0071012777254337404, 0.21628749886835655, 0.10615787449784166, 0.2508791600625346, -0.3348846923647903, 0.2322215311170563, 0.06898655947737807, 0.15513315538721761, 0.396451627175639, -0.19560267418388308, 0.16276424325357272, -0.2914471978277672, 0.09742879492091382, -0.13714186718144755, -0.21736775796244465, -0.0034201077706231845, -0.13043076339669116, -0.05950806471775836, 0.19821877742376853]",0.9110999703407288,0.9111,-0.0004000067710876465,-0.0005999999999999339,0.2888122498989105,0.34345004,-0.14395669,-0.36216626,-41.0,-105.0,0.21820956,64.0
22,model_3_0,dense_last/kernel,3,9,20,"[(48, 8), (26, 7), (26, 3), (26, 5), (37, 9), (91, 3), (33, 1), (38, 1), (78, 5), (46, 9), (94, 9), (55, 6), (87, 6), (38, 9), (64, 1), (24, 0), (69, 8), (82, 7), (79, 6), (42, 2)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[0.43574077, -0.0134394225, -0.56118727, 0.07215572, 0.08791552, 0.113237485, -0.6358375, -0.703659, 0.20639677, -0.29250988, -0.13868532, -0.2252033, 0.081038676, -0.11568621, -0.029642727, -0.045494374, -0.6448348, 0.11989157, -0.10458963, 0.28171882]","[42, -1, -54, 7, 9, 11, -62, -68, 20, -28, -13, -22, 8, -11, -3, -4, -63, 12, -10, 27]","[2, 7, 5, 2, 1, 0, 5, 2, 0, 4, 6, 0, 2, 4, 4, 1, 5, 4, 1, 2]","[46, 127, -22, 3, 11, 10, -30, -72, 21, -12, -77, -21, 12, -27, -19, -2, -31, 28, -12, 31]","[0.4739253408326877, 1.3084460496902466, -0.22665994561563327, 0.03090817440213181, 0.11332997280781663, 0.10302724800710603, -0.3090817440213181, -0.7417961856511635, 0.21635722081492267, -0.12363269760852724, -0.7933098096547164, -0.21635722081492267, 0.12363269760852724, -0.27817356961918627, -0.19575177121350146, -0.020605449601421206, -0.3193844688220287, 0.28847629441989686, -0.12363269760852724, 0.3193844688220287]",0.9077000021934509,0.908,-0.0037999749183654785,-0.0036999999999999256,0.30499663949012756,0.36504743,-1.4303417,-1.5810043,-138.0,-154.0,0.15066254,16.0
23,model_3_1,dense_last/kernel,3,9,20,"[(7, 4), (29, 1), (44, 3), (40, 1), (61, 8), (58, 9), (90, 5), (39, 2), (50, 2), (48, 7), (93, 9), (16, 9), (72, 0), (41, 4), (81, 1), (73, 3), (25, 7), (5, 7), (13, 9), (38, 2)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[-0.1646023, -0.15057595, 0.22533678, 0.15327173, 0.36599275, 0.14211261, 0.12279223, -0.03494604, -0.0923357, -0.3873172, 0.054544024, -0.2121895, 0.13954587, 0.23421644, -0.27511746, -0.17305602, -0.26072067, -0.2760398, 0.13743956, -0.4271951]","[-16, -15, 22, 15, 36, 14, 12, -3, -9, -38, 5, -21, 14, 23, -27, -17, -25, -27, 13, -41]","[3, 7, 2, 6, 3, 3, 3, 5, 4, 3, 4, 2, 0, 5, 6, 7, 6, 4, 6, 3]","[-8, 113, 18, 79, 44, 6, 4, -35, -25, -46, 21, -17, 15, 55, -91, 111, -89, -11, 77, -33]","[-0.08242179840568482, 1.164207902480298, 0.18544904641279086, 0.8139152592561376, 0.45331989123126654, 0.06181634880426362, 0.04121089920284241, -0.36059536802487113, -0.2575681200177651, -0.4739253408326877, 0.21635722081492267, -0.17514632161208024, 0.15454087201065905, 0.5666498640390831, -0.9375479568646649, 1.1436024528788769, -0.9169425072632437, -0.11332997280781663, 0.7933098096547164, -0.3399899184234499]",0.9061999917030334,0.9064,-0.005299985408782959,-0.005299999999999971,0.31237730383872986,0.36789212,0.56864715,0.21982643,86.0,54.0,0.34882072,32.0
24,model_0_0,conv2d/kernel,0,2,20,"[(4, 0, 0, 8), (3, 3, 0, 2), (2, 0, 0, 31), (3, 0, 0, 30), (4, 0, 0, 13), (0, 1, 0, 18), (4, 3, 0, 4), (3, 1, 0, 8), (1, 0, 0, 3), (0, 1, 0, 13), (2, 4, 0, 8), (3, 1, 0, 0), (3, 1, 0, 3), (0, 2, 0, 17), (2, 4, 0, 5), (2, 3, 0, 25), (1, 3, 0, 5), (0, 4, 0, 15), (0, 1, 0, 25), (3, 2, 0, 3)]","[-0.32898462, -0.19616601, -0.31486028, -0.34759772, -0.30256942, -1.1804308, -0.2743616, -0.32898462, -0.28093943, -0.30256942, -0.32898462, -0.41804698, -0.28093943, -0.3549934, -0.2208852, -0.2637816, -0.2208852, -0.31544816, -0.2637816, -0.28093943]","[0.32898462, 0.19616601, 0.31486028, 0.34759772, 0.30256942, 1.1804308, 0.2743616, 0.32898462, 0.28093943, 0.30256942, 0.32898462, 0.41804698, 0.28093943, 0.3549934, 0.2208852, 0.2637816, 0.2208852, 0.31544816, 0.2637816, 0.28093943]","[-0.053423554, 0.05323364, 0.052739546, -0.09369157, -0.05610412, -1.1807445, 0.1285593, -0.08133344, -0.025150582, -0.10722086, -0.0786067, -0.07598737, -0.020428516, 0.13843769, -0.11115393, -0.066682115, 0.00761238, 0.010317124, 0.14360312, -0.038166553]","[-21, 34, 21, -34, -24, -127, 60, -31, -11, -45, -30, -23, -9, 50, -64, -32, 4, 4, 69, -17]","[6, 2, 4, 1, 2, 1, 4, 7, 5, 7, 1, 6, 5, 1, 6, 4, 1, 2, 6, 2]","[-85, 38, 5, -36, -20, -125, 44, 97, -43, 83, -32, -87, -41, 48, -128, -16, 6, 0, 5, -21]","[-0.22018655547945518, 0.05869534118907658, 0.01239607418615987, -0.0985316366661252, -0.047648727424501436, -1.1618413089767217, 0.09505441620593935, 0.2512717162530253, -0.09512122433016619, 0.19774221881168094, -0.08289376206285372, -0.2863786405935062, -0.09069698133806545, 0.1341707349762203, -0.2226244558499554, -0.03323232845997247, 0.010435521367966659, 0.0, 0.010385102643741397, -0.046454551417057906]",0.9108999967575073,0.9115,-0.000599980354309082,-0.00019999999999997797,0.287515789270401,0.33888426,"[0.044097587, -0.42776838, -0.18164538, -0.06432235, -0.1382067, 1.7245317, -0.034146458, 0.42749715, 0.2875741, 0.3527106, 0.0018375143, 0.6389769, 0.42592853, 0.053124048, 0.4042982, 0.21663973, -0.27829337, -0.1614523, -0.43235087, -0.043812666]","[0.3776236, -0.44961518, -0.060614966, -0.049802173, -0.1551175, 1.6678219, 0.066368215, -0.9029235, 0.49748603, -0.5621786, 0.014698684, 1.480542, 0.7070024, 0.06592489, 0.73870975, 0.08284058, -0.28958595, -0.14081804, -0.032696843, -0.010660663]","[18.0, -274.0, -72.0, -24.0, -57.0, 185.0, -17.0, 164.0, 130.0, 148.0, -1.0, 193.0, 192.0, 18.0, 234.0, 104.0, -157.0, -65.0, -208.0, 11.0]","[146.0, -290.0, -24.0, -18.0, -65.0, 179.0, 31.0, -348.0, 226.0, -236.0, 5.0, 449.0, 320.0, 24.0, 426.0, 40.0, -165.0, -57.0, -16.0, 27.0]","[0.33352602, 0.021846801, 0.12103041, 0.0145201795, 0.016910791, 0.056709766, 0.10051467, 1.3304207, 0.20991191, 0.9148892, 0.01286117, 0.8415651, 0.28107387, 0.0128008425, 0.33441156, 0.13379915, 0.011292577, 0.020634249, 0.39965403, 0.033152003]","[128.0, 16.0, 48.0, 6.0, 8.0, 6.0, 48.0, 512.0, 96.0, 384.0, 6.0, 256.0, 128.0, 6.0, 192.0, 64.0, 8.0, 8.0, 192.0, 16.0]"
