,reference,layer_name,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
,original,,,,0.914,,0.38962257
0,2023/10/23 08:49:39,conv2d/,1,0,0.9141,-9.999999999998899e-05,0.38937345
1,2023/10/23 08:49:41,conv2d/,1,1,0.9141,-9.999999999998899e-05,0.38862035
2,2023/10/23 08:49:42,conv2d/,1,2,0.9137,0.000300000000000078,0.39064026
3,2023/10/23 08:49:44,conv2d/,1,3,0.9129,0.0010999999999999899,0.3903411
4,2023/10/23 08:49:45,conv2d/,1,4,0.9144,-0.00039999999999995595,0.3905716
5,2023/10/23 08:49:47,conv2d/,1,5,0.9135,0.000500000000000056,0.39306054
6,2023/10/23 08:49:49,conv2d/,1,6,0.9136,0.00040000000000006697,0.38829014
7,2023/10/23 08:49:50,conv2d/,1,7,0.9123,0.0017000000000000348,0.37708214
8,2023/10/23 08:49:52,conv2d/,1,0,0.914,0.0,0.3909811
9,2023/10/23 08:49:54,conv2d/,1,1,0.9145,-0.0004999999999999449,0.38944492
10,2023/10/23 08:49:55,conv2d/,1,2,0.9139,9.999999999998899e-05,0.38983423
11,2023/10/23 08:49:57,conv2d/,1,3,0.9138,0.000200000000000089,0.38853684
12,2023/10/23 08:49:59,conv2d/,1,4,0.9135,0.000500000000000056,0.38725698
13,2023/10/23 08:50:00,conv2d/,1,5,0.9134,0.0006000000000000449,0.386954
14,2023/10/23 08:50:02,conv2d/,1,6,0.9109,0.0030999999999999917,0.40114692
15,2023/10/23 08:50:03,conv2d/,1,7,0.9115,0.0025000000000000577,0.38863367
16,2023/10/23 08:50:05,conv2d/,1,0,0.914,0.0,0.38870904
17,2023/10/23 08:50:07,conv2d/,1,1,0.9149,-0.0009000000000000119,0.3899159
18,2023/10/23 08:50:08,conv2d/,1,2,0.9137,0.000300000000000078,0.3928956
19,2023/10/23 08:50:10,conv2d/,1,3,0.9138,0.000200000000000089,0.3862372
20,2023/10/23 08:50:12,conv2d/,1,4,0.913,0.0010000000000000009,0.39081275
21,2023/10/23 08:50:13,conv2d/,1,5,0.9132,0.0008000000000000229,0.38891813
22,2023/10/23 08:50:15,conv2d/,1,6,0.9134,0.0006000000000000449,0.3875436
23,2023/10/23 08:50:16,conv2d/,1,7,0.911,0.0030000000000000027,0.39381367
24,2023/10/23 08:50:18,conv2d/,1,0,0.9142,-0.00019999999999997797,0.39044598
25,2023/10/23 08:50:20,conv2d/,1,1,0.9137,0.000300000000000078,0.38850027
26,2023/10/23 08:50:21,conv2d/,1,2,0.9136,0.00040000000000006697,0.38848832
27,2023/10/23 08:50:23,conv2d/,1,3,0.9145,-0.0004999999999999449,0.38877183
28,2023/10/23 08:50:25,conv2d/,1,4,0.9128,0.0012000000000000899,0.3935927
29,2023/10/23 08:50:26,conv2d/,1,5,0.9139,9.999999999998899e-05,0.3906455
30,2023/10/23 08:50:28,conv2d/,1,6,0.9136,0.00040000000000006697,0.39422974
31,2023/10/23 08:50:29,conv2d/,1,7,0.912,0.0020000000000000018,0.39115617
32,2023/10/23 08:50:31,conv2d/,1,0,0.9144,-0.00039999999999995595,0.39064294
33,2023/10/23 08:50:33,conv2d/,1,1,0.9145,-0.0004999999999999449,0.388148
34,2023/10/23 08:50:34,conv2d/,1,2,0.9137,0.000300000000000078,0.39078206
35,2023/10/23 08:50:36,conv2d/,1,3,0.9139,9.999999999998899e-05,0.38857165
36,2023/10/23 08:50:38,conv2d/,1,4,0.9139,9.999999999998899e-05,0.38984892
37,2023/10/23 08:50:39,conv2d/,1,5,0.9125,0.0015000000000000568,0.40387776
38,2023/10/23 08:50:41,conv2d/,1,6,0.915,-0.0010000000000000009,0.39020377
39,2023/10/23 08:50:42,conv2d/,1,7,0.906,0.008000000000000007,0.39151323
40,2023/10/23 08:50:44,conv2d/,1,0,0.9142,-0.00019999999999997797,0.38929424
41,2023/10/23 08:50:46,conv2d/,1,1,0.9139,9.999999999998899e-05,0.3894884
42,2023/10/23 08:50:47,conv2d/,1,2,0.9142,-0.00019999999999997797,0.3904458
43,2023/10/23 08:50:49,conv2d/,1,3,0.9134,0.0006000000000000449,0.38938823
44,2023/10/23 08:50:51,conv2d/,1,4,0.9147,-0.0006999999999999229,0.39079028
45,2023/10/23 08:50:52,conv2d/,1,5,0.9128,0.0012000000000000899,0.39455813
46,2023/10/23 08:50:54,conv2d/,1,6,0.9126,0.0014000000000000679,0.3944699
47,2023/10/23 08:50:56,conv2d/,1,7,0.9115,0.0025000000000000577,0.38863367
48,2023/10/23 08:50:57,conv2d/,1,0,0.9136,0.00040000000000006697,0.3898516
49,2023/10/23 08:50:59,conv2d/,1,1,0.9136,0.00040000000000006697,0.38870743
50,2023/10/23 08:51:00,conv2d/,1,2,0.9145,-0.0004999999999999449,0.389663
51,2023/10/23 08:51:02,conv2d/,1,3,0.914,0.0,0.39094025
52,2023/10/23 08:51:04,conv2d/,1,4,0.9139,9.999999999998899e-05,0.3895435
53,2023/10/23 08:51:05,conv2d/,1,5,0.9145,-0.0004999999999999449,0.39343172
54,2023/10/23 08:51:07,conv2d/,1,6,0.9131,0.0009000000000000119,0.3854899
55,2023/10/23 08:51:09,conv2d/,1,7,0.9148,-0.0007999999999999119,0.38258982
56,2023/10/23 08:51:10,conv2d/,1,0,0.9143,-0.00029999999999996696,0.39052787
57,2023/10/23 08:51:12,conv2d/,1,1,0.914,0.0,0.38657635
58,2023/10/23 08:51:14,conv2d/,1,2,0.9142,-0.00019999999999997797,0.39047128
59,2023/10/23 08:51:15,conv2d/,1,3,0.9151,-0.0010999999999999899,0.38973844
60,2023/10/23 08:51:17,conv2d/,1,4,0.9141,-9.999999999998899e-05,0.38833144
61,2023/10/23 08:51:19,conv2d/,1,5,0.914,0.0,0.38759694
62,2023/10/23 08:51:20,conv2d/,1,6,0.9131,0.0009000000000000119,0.38679016
63,2023/10/23 08:51:22,conv2d/,1,7,0.913,0.0010000000000000009,0.39506355
64,2023/10/23 08:51:24,conv2d/,1,0,0.9142,-0.00019999999999997797,0.3905254
65,2023/10/23 08:51:25,conv2d/,1,1,0.9142,-0.00019999999999997797,0.39044893
66,2023/10/23 08:51:27,conv2d/,1,2,0.9143,-0.00029999999999996696,0.3902802
67,2023/10/23 08:51:29,conv2d/,1,3,0.9145,-0.0004999999999999449,0.3907007
68,2023/10/23 08:51:30,conv2d/,1,4,0.9143,-0.00029999999999996696,0.39063892
69,2023/10/23 08:51:32,conv2d/,1,5,0.9138,0.000200000000000089,0.3900628
70,2023/10/23 08:51:33,conv2d/,1,6,0.9127,0.0013000000000000789,0.388288
71,2023/10/23 08:51:35,conv2d/,1,7,0.9135,0.000500000000000056,0.390062
72,2023/10/23 08:51:37,conv2d/,1,0,0.9138,0.000200000000000089,0.38826802
73,2023/10/23 08:51:38,conv2d/,1,1,0.9139,9.999999999998899e-05,0.38984865
74,2023/10/23 08:51:40,conv2d/,1,2,0.9141,-9.999999999998899e-05,0.3885722
75,2023/10/23 08:51:42,conv2d/,1,3,0.9147,-0.0006999999999999229,0.3884181
76,2023/10/23 08:51:43,conv2d/,1,4,0.9139,9.999999999998899e-05,0.3926417
77,2023/10/23 08:51:45,conv2d/,1,5,0.9135,0.000500000000000056,0.38894424
78,2023/10/23 08:51:47,conv2d/,1,6,0.9136,0.00040000000000006697,0.39039612
79,2023/10/23 08:51:48,conv2d/,1,7,0.9067,0.007300000000000084,0.42556494
80,2023/10/23 08:51:50,conv2d/,1,0,0.9142,-0.00019999999999997797,0.3911437
81,2023/10/23 08:51:52,conv2d/,1,1,0.9143,-0.00029999999999996696,0.38958687
82,2023/10/23 08:51:53,conv2d/,1,2,0.9135,0.000500000000000056,0.38828966
83,2023/10/23 08:51:55,conv2d/,1,3,0.9139,9.999999999998899e-05,0.38982087
