,name,layer_affected,kernel_index,layer_affected_index,number_bits_flipped,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_test_accuracy,tflite_test_accuracy,q_aware_test_acc_degradation,tflite_test_acc_degradation,q_aware_test_loss,tflite_test_loss,q_aware_train_accuracy,tflite_train_accuracy,q_aware_train_acc_degradation,tflite_train_acc_degradation,q_aware_train_loss,tflite_train_loss,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
,model-original,,,,,,,,,,,,,0.9114999771118164,0.9117,,,0.2890910804271698,0.3396423,0.9616833329200745,0.96165,,,0.1127830371260643,0.11800698,,,,,,
0,model_0_0,conv2d/kernel,0,2,10,"[(4, 2, 0, 9), (1, 3, 0, 21), (1, 0, 0, 29), (3, 4, 0, 8), (4, 1, 0, 22), (0, 1, 0, 1), (0, 0, 0, 3), (2, 1, 0, 27), (1, 0, 0, 1), (4, 2, 0, 5)]","[-0.29012367, -0.2561462, -0.17182907, -0.32898462, -0.2764671, -0.40498513, -0.28093943, -0.25802124, -0.40498513, -0.2208852]","[0.29012367, 0.2561462, 0.17182907, 0.32898462, 0.2764671, 0.40498513, 0.28093943, 0.25802124, 0.40498513, 0.2208852]","[0.033619773, 0.21823388, 0.07577588, -0.15422936, 0.14195314, -0.4048968, -0.027507192, -0.07164999, 0.03263052, 0.09447071]","[15, 108, 56, -60, 65, -127, -12, -35, 10, 54]","[4, 5, 4, 5, 3, 6, 7, 6, 1, 4]","[31, 76, 40, -28, 73, -63, 116, -99, 8, 38]","[0.0708175890558348, 0.15328433569960706, 0.05411939358148049, -0.072532041804997, 0.15891416828463398, -0.20089813527159803, 0.25660609354184366, -0.20113466386719953, 0.025510874320202926, 0.0660916353304555]",0.9100000262260437,0.9097,-0.001499950885772705,-0.0020000000000000018,0.2975461184978485,0.35392743,0.9553499817848206,0.9553,-0.006333351135253906,-0.006349999999999967,0.12554243206977844,0.13215257,-0.55079967,-0.46566242,-316.0,-268.0,0.08513725,48.0
1,model_1_0,conv2d_1/kernel,1,4,10,"[(2, 0, 14, 1), (4, 2, 10, 44), (3, 3, 15, 58), (3, 3, 7, 19), (4, 2, 4, 8), (2, 3, 29, 24), (4, 3, 19, 32), (2, 2, 3, 7), (0, 3, 13, 35), (2, 1, 19, 53)]","[-0.42802384, -0.5272056, -0.5687687, -0.47254568, -0.38130075, -0.7118184, -0.4096759, -0.44084367, -0.41162112, -0.4645963]","[0.42802384, 0.5272056, 0.5687687, 0.47254568, 0.38130075, 0.7118184, 0.4096759, 0.44084367, 0.41162112, 0.4645963]","[0.106638, -0.11052611, -0.08506251, -0.37255323, 0.0072005964, -0.07255489, 0.08126621, -0.03969186, 0.06312766, 0.009367492]","[32, -27, -19, -100, 2, -13, 25, -11, 19, 3]","[4, 3, 0, 5, 4, 1, 1, 6, 0, 7]","[48, -19, -20, -68, 18, -15, 27, -75, 18, -125]","[0.16177279179490459, -0.07887327671051025, -0.08956987088120828, -0.2530165863788034, 0.05404262561497726, -0.084073039021079, 0.08709645036637313, -0.2603407509214296, 0.058340001763321284, -0.4572798241311171]",0.9115999937057495,0.9118,0.00010001659393310547,0.00010000000000010001,0.28912878036499023,0.33842638,0.9616333246231079,0.96165,-5.0008296966552734e-05,0.0,0.11278724670410156,0.11832624,0.023294955,1.8898842,4.0,516.0,1.8665893,512.0
2,model_2_0,conv2d_2/kernel,2,6,10,"[(0, 0, 1, 4), (2, 2, 43, 19), (0, 0, 55, 93), (0, 1, 3, 35), (1, 0, 61, 9), (1, 1, 14, 62), (2, 1, 58, 56), (1, 2, 31, 79), (0, 2, 15, 63), (1, 1, 61, 6)]","[-0.41616133, -0.39370516, -0.47308788, -0.5420897, -0.5525638, -0.45138773, -0.69451714, -0.36912605, -0.3984574, -0.2362797]","[0.41616133, 0.39370516, 0.47308788, 0.5420897, 0.5525638, 0.45138773, 0.69451714, 0.36912605, 0.3984574, 0.2362797]","[0.013291078, 0.036293574, 0.13391933, 0.027316358, -0.14492401, -0.006808574, 0.23105954, -0.020224733, -0.056130573, 0.0110749295]","[4, 12, 36, 6, -33, -2, 42, -7, -18, 6]","[7, 6, 5, 2, 6, 7, 3, 6, 1, 1]","[-124, 76, 4, 2, -97, 126, 34, -71, -20, 4]","[-0.4063307459898821, 0.23560308753036138, 0.014900405575909952, 0.008536845680296891, -0.42203690780429387, 0.44783349910120324, 0.185933721347118, -0.2063618084107797, -0.06274919810257559, 0.0074418801960982675]",0.9117000102996826,0.9118,0.00020003318786621094,0.00010000000000010001,0.2885033190250397,0.34010342,0.9617999792098999,0.9617666666666667,0.00011664628982543945,0.00011666666666665382,0.11268504709005356,0.118160516,-0.08555955,-0.07102735,-47.0,-39.0,0.014532194,8.0
3,model_3_0,dense_last/kernel,3,9,10,"[(18, 1), (90, 5), (8, 6), (29, 6), (77, 2), (83, 2), (53, 8), (48, 3), (67, 6), (77, 5)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[0.36017838, 0.12279223, -0.3133891, 0.13320024, 0.1452073, -0.17165422, 0.4036277, 0.015294884, -0.16152877, 0.05154233]","[35, 12, -30, 13, 14, -17, 39, 1, -16, 5]","[2, 2, 2, 3, 0, 1, 2, 3, 5, 7]","[39, 8, -26, 5, 15, -19, 35, 9, -48, -123]","[0.4018062672277135, 0.08242179840568482, -0.2678708448184757, 0.05151362400355301, 0.15454087201065905, -0.19575177121350146, 0.36059536802487113, 0.09272452320639543, -0.49453079043410897, -1.2672351504874042]",0.9107000231742859,0.9106,-0.0007999539375305176,-0.0010999999999999899,0.29872748255729675,0.35531655,0.9582666754722595,0.9582833333333334,-0.0034166574478149414,-0.003366666666666629,0.11893065273761749,0.12539278,0.21625513,5.491365,22.0,534.0,5.27511,512.0
4,model_0_0,conv2d/kernel,0,2,10,"[(3, 1, 0, 26), (0, 2, 0, 7), (0, 1, 0, 22), (1, 1, 0, 0), (4, 0, 0, 10), (2, 4, 0, 12), (4, 4, 0, 16), (4, 0, 0, 12), (1, 0, 0, 16), (0, 1, 0, 24)]","[-0.13011168, -0.17216218, -0.2764671, -0.41804698, -1.8581172, -0.79553723, -0.3302648, -0.79553723, -0.3302648, -0.3867037]","[0.13011168, 0.17216218, 0.2764671, 0.41804698, 1.8581172, 0.79553723, 0.3302648, 0.79553723, 0.3302648, 0.3867037]","[0.024834245, 0.115457065, 0.14603113, 0.024694346, 0.24387062, -0.2114996, 0.035142418, 0.122979365, 0.15422961, -0.2702937]","[24, 85, 67, 8, 17, -34, 14, 20, 59, -89]","[5, 0, 3, 0, 4, 4, 2, 1, 1, 1]","[56, 84, 75, 9, 1, -50, 10, 22, 57, -91]","[0.05737207912084624, 0.11387104499997117, 0.16326798111434995, 0.029625376613121333, 0.014630844273905116, -0.31320363517821304, 0.02600510289349894, 0.13780959947841373, 0.14822908649294395, -0.2770869030257848]",0.9115999937057495,0.9117,0.00010001659393310547,0.0,0.28639864921569824,0.33572382,0.9611999988555908,0.9611833333333333,-0.0004833340644836426,-0.0004666666666667263,0.11313311010599136,0.117516354,0.6224179,0.6427975,205.0,211.0,0.020379603,6.0
5,model_1_0,conv2d_1/kernel,1,4,10,"[(4, 4, 5, 58), (2, 4, 15, 8), (3, 0, 18, 63), (0, 4, 30, 7), (2, 2, 24, 27), (2, 3, 4, 10), (1, 0, 13, 16), (1, 4, 24, 1), (3, 4, 26, 14), (4, 1, 29, 24)]","[-0.5687687, -0.38130075, -0.40499523, -0.44084367, -0.55178016, -0.59187526, -0.5541169, -0.42802384, -0.49035996, -0.7118184]","[0.5687687, 0.38130075, 0.40499523, 0.44084367, 0.55178016, 0.59187526, 0.5541169, 0.42802384, 0.49035996, 0.7118184]","[0.11835597, -0.09854477, 0.064797685, -0.14892529, -0.23152758, 0.019054277, -0.19914842, 0.010006067, -0.08039593, -0.14937113]","[26, -33, 20, -43, -53, 4, -46, 3, -21, -27]","[2, 1, 2, 3, 0, 0, 6, 1, 3, 2]","[30, -35, 16, -35, -54, 5, -110, 1, -29, -31]","[0.13435480632181243, -0.10508288314023356, 0.051023021457702156, -0.12149235043000048, -0.23461518794532835, 0.023302175397948016, -0.47994377575521396, 0.0033702664957271787, -0.11197195982369851, -0.17375094731022991]",0.9121000170707703,0.9118,0.0006000399589538574,0.00010000000000010001,0.28913071751594543,0.33855212,0.9615833163261414,0.9615333333333334,-0.00010001659393310547,-0.00011666666666665382,0.11282368004322052,0.11822066,0.2949,0.36803946,54.0,66.0,0.07313946,12.0
6,model_2_0,conv2d_2/kernel,2,6,10,"[(0, 1, 21, 76), (2, 1, 20, 54), (1, 2, 52, 46), (1, 2, 45, 93), (0, 1, 52, 28), (2, 1, 13, 54), (2, 1, 52, 40), (1, 1, 20, 78), (0, 1, 30, 49), (0, 1, 4, 82)]","[-0.41783446, -0.55430937, -0.3968896, -0.47308788, -0.4309065, -0.55430937, -0.082906894, -0.5793028, -0.40794802, -0.33409527]","[0.41783446, 0.55430937, 0.3968896, 0.47308788, 0.4309065, 0.55430937, 0.082906894, 0.5793028, 0.40794802, 0.33409527]","[0.18179315, -0.12430126, -0.23218518, 0.06200891, -0.08899195, -0.15172707, -0.007009496, 0.05945529, -0.07224007, 0.002963164]","[55, -28, -74, 17, -26, -35, -11, 13, -22, 1]","[1, 3, 3, 2, 0, 3, 3, 5, 6, 1]","[53, -20, -66, 21, -25, -43, -3, 45, -86, 3]","[0.17437186156670878, -0.08729281387929841, -0.20625758593476665, 0.07822712927352725, -0.08482411503791809, -0.1876795498404916, -0.0019584305760428663, 0.20526476732389196, -0.2762482635618195, 0.007892014238778063]",0.911300003528595,0.9116,-0.00019997358322143555,-9.999999999998899e-05,0.2892192006111145,0.34186113,0.9616000056266785,0.9615833333333333,-8.33272933959961e-05,-6.666666666665932e-05,0.11292507499456406,0.11813576,0.069364265,0.054577705,26.0,20.0,0.01478656,6.0
7,model_3_0,dense_last/kernel,3,9,10,"[(44, 2), (84, 5), (8, 1), (64, 6), (29, 9), (16, 8), (4, 8), (74, 4), (12, 3), (17, 5)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[0.19235261, -0.30286056, 0.15254249, -0.12391355, 0.21757686, 0.09880423, -0.5334967, 0.16644596, 0.112109736, -0.032658458]","[19, -29, 15, -12, 21, 10, -52, 16, 11, -3]","[2, 3, 5, 1, 1, 3, 7, 7, 5, 2]","[23, -21, 47, -10, 23, 2, 76, -112, 43, -7]","[0.23696267041634386, -0.21635722081492267, 0.4842280656333983, -0.10302724800710603, 0.23696267041634386, 0.020605449601421206, 0.7830070848540058, -1.1539051776795874, 0.44301716643055594, -0.07211907360497422]",0.8978000283241272,0.8979,-0.013699948787689209,-0.013799999999999923,0.3405287563800812,0.40699425,0.9432333111763,0.9431333333333334,-0.018450021743774414,-0.018516666666666626,0.1603665053844452,0.16881351,-0.7045578,-0.54671526,-69.0,-53.0,0.15784252,16.0
