,reference,layer_name,layer_counter,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
65,2024/01/27 17:48:29,conv2d/,0,4,5,0.913,-0.0010000000000000009,0.38823786
66,2024/01/27 17:48:30,conv2d/,0,1,6,0.9126,-0.0014000000000000679,0.38849863
67,2024/01/27 17:48:32,conv2d/,0,2,6,0.9139,-9.999999999998899e-05,0.38680717
68,2024/01/27 17:48:34,conv2d/,0,4,6,0.9124,-0.0016000000000000458,0.393262
69,2024/01/27 17:48:36,conv2d/,0,1,7,0.9138,-0.000200000000000089,0.387898
70,2024/01/27 17:48:38,conv2d/,0,2,7,0.9088,-0.005199999999999982,0.37859735
71,2024/01/27 17:48:39,conv2d/,0,4,7,0.905,-0.009000000000000008,0.4042399
72,2024/01/27 17:48:41,conv2d/,0,1,0,0.9136,-0.00040000000000006697,0.38980433
73,2024/01/27 17:48:43,conv2d/,0,2,0,0.9136,-0.00040000000000006697,0.39086196
74,2024/01/27 17:48:45,conv2d/,0,4,0,0.9141,9.999999999998899e-05,0.38827685
75,2024/01/27 17:48:46,conv2d/,0,1,1,0.9144,0.00039999999999995595,0.39205343
76,2024/01/27 17:48:48,conv2d/,0,2,1,0.9143,0.00029999999999996696,0.39163765
77,2024/01/27 17:48:50,conv2d/,0,4,1,0.9136,-0.00040000000000006697,0.38859928
78,2024/01/27 17:48:52,conv2d/,0,1,2,0.9147,0.0006999999999999229,0.38526154
79,2024/01/27 17:48:54,conv2d/,0,2,2,0.9142,0.00019999999999997797,0.38996762
80,2024/01/27 17:48:55,conv2d/,0,4,2,0.9144,0.00039999999999995595,0.38972682
81,2024/01/27 17:48:57,conv2d/,0,1,3,0.9139,-9.999999999998899e-05,0.39167532
82,2024/01/27 17:48:59,conv2d/,0,2,3,0.9145,0.0004999999999999449,0.38587877
83,2024/01/27 17:49:01,conv2d/,0,4,3,0.9141,9.999999999998899e-05,0.38808644
84,2024/01/27 17:49:02,conv2d/,0,1,4,0.9141,9.999999999998899e-05,0.3866331
85,2024/01/27 17:49:04,conv2d/,0,2,4,0.9137,-0.000300000000000078,0.38673574
86,2024/01/27 17:49:06,conv2d/,0,4,4,0.9137,-0.000300000000000078,0.38974267
87,2024/01/27 17:49:08,conv2d/,0,1,5,0.9142,0.00019999999999997797,0.3955251
88,2024/01/27 17:49:10,conv2d/,0,2,5,0.9131,-0.0009000000000000119,0.3868142
89,2024/01/27 17:49:11,conv2d/,0,4,5,0.9132,-0.0008000000000000229,0.3913405
90,2024/01/27 17:49:13,conv2d/,0,1,6,0.9131,-0.0009000000000000119,0.39908788
91,2024/01/27 17:49:15,conv2d/,0,2,6,0.9119,-0.0020999999999999908,0.3937785
92,2024/01/27 17:49:17,conv2d/,0,4,6,0.9119,-0.0020999999999999908,0.39046887
93,2024/01/27 17:49:19,conv2d/,0,1,7,0.9118,-0.0021999999999999797,0.38839594
94,2024/01/27 17:49:20,conv2d/,0,2,7,0.9111,-0.0029000000000000137,0.40012965
95,2024/01/27 17:49:22,conv2d/,0,4,7,0.9042,-0.009800000000000031,0.39522853
96,2024/01/27 17:49:24,conv2d/,0,1,0,0.914,0.0,0.39034066
97,2024/01/27 17:49:26,conv2d/,0,2,0,0.9141,9.999999999998899e-05,0.39016497
98,2024/01/27 17:49:27,conv2d/,0,4,0,0.9137,-0.000300000000000078,0.38963345
99,2024/01/27 17:49:29,conv2d/,0,1,1,0.9141,9.999999999998899e-05,0.3894713
100,2024/01/27 17:49:31,conv2d/,0,2,1,0.9133,-0.0007000000000000339,0.39016363
